,Unnamed: 0,tweet,language,likes,retweets,datetime,Subjectivity,Polarity,Analysis,Date,datestring
0,1,@aaronraidersfan @dadbodcarlsberg @landenghamm @mrr8der34 @oddinsights_tcs Don't pretend you're the unicorn of the… https://t.co/NCPsAax62F,en,0,0,2021-11-16 20:35:41+00:00,0.0,0.0,Neutral,2021-11-16 20:35:41+00:00,2021-11-16
1,2,"Critical  distance  mastered  #MHW #MHWIB #Greatsword #Tcs #PS4share

https://t.co/D7GuaFbLxI https://t.co/CMha9bnz7v",en,1,0,2021-11-16 20:34:52+00:00,0.8,0.0,Neutral,2021-11-16 20:34:52+00:00,2021-11-16
2,3,"RT @SaversHB: ⭐🚨 #GIVEAWAY ALERT 🚨 ⭐

#WIN a Brut scent bundle! A perfect treat for yourself or for a loved one this Christmas!

For you ch…",en,0,0,2021-11-16 20:33:46+00:00,0.7333333333333334,0.9583333333333334,Positive,2021-11-16 20:33:46+00:00,2021-11-16
3,5,"RT @GenAssets: Oracle’s client numbers are the tip of the iceberg here.

@Oracle partners w. basically all of the world’s largest advisory/…",en,0,0,2021-11-16 20:33:28+00:00,0.0,0.0,Neutral,2021-11-16 20:33:28+00:00,2021-11-16
4,6,Team Geography attended our weekly CPD today and left with super scripted questioning for tomorrow’s lessons. Can’t… https://t.co/33kiUddP3W,en,0,0,2021-11-16 20:32:37+00:00,0.3333333333333333,0.1666666666666666,Positive,2021-11-16 20:32:37+00:00,2021-11-16
5,7,@TCS @DGCAIndia @JM_Scindia @MoCA_GoI @bsindia Thank you for sharing this.,en,0,0,2021-11-16 20:31:01+00:00,0.0,0.0,Neutral,2021-11-16 20:31:01+00:00,2021-11-16
6,8,"RT @SaversHB: ⭐🚨 #GIVEAWAY ALERT 🚨 ⭐

#WIN a Brut scent bundle! A perfect treat for yourself or for a loved one this Christmas!

For you ch…",en,0,0,2021-11-16 20:30:38+00:00,0.7333333333333334,0.9583333333333334,Positive,2021-11-16 20:30:38+00:00,2021-11-16
7,12,"RT @SaversHB: ⭐🚨 #GIVEAWAY ALERT 🚨 ⭐

#WIN a Brut scent bundle! A perfect treat for yourself or for a loved one this Christmas!

For you ch…",en,0,0,2021-11-16 20:29:33+00:00,0.7333333333333334,0.9583333333333334,Positive,2021-11-16 20:29:33+00:00,2021-11-16
8,13,"RT @AnyBodyCanFly: My watchlist for IT aka Technology sector

~ TCS
~ Sasken
~ Datamatics
~ Mastek
~ EClerx
~ Aurionpro Solutions
~ HGS

Th…",en,0,0,2021-11-16 20:29:25+00:00,0.0,0.0,Neutral,2021-11-16 20:29:25+00:00,2021-11-16
9,14,"@keltuisback I'm a bot, the #(NSE india symbol) helps me identify the correct instrument.

For example:… https://t.co/101LoZplwW",en,0,0,2021-11-16 20:29:01+00:00,0.0,0.0,Neutral,2021-11-16 20:29:01+00:00,2021-11-16
